name,url,remote_testing,adaptive_irt,test_type,duration
Account Manager Solution,https://www.shl.com/solutions/products/product-catalog/view/account-manager-solution/,No,No,"C
P
A
B",Assessment length
Administrative Professional - Short Form,https://www.shl.com/solutions/products/product-catalog/view/administrative-professional-short-form/,No,No,"A
K
P",Assessment length
Agency Manager Solution,https://www.shl.com/solutions/products/product-catalog/view/agency-manager-solution/,No,No,"A
B
P
S",Assessment length
Apprentice + 8.0 Job Focused Assessment,https://www.shl.com/solutions/products/product-catalog/view/apprentice-8-0-job-focused-assessment-4261/,No,No,"B
P",Assessment length
Apprentice 8.0 Job Focused Assessment,https://www.shl.com/solutions/products/product-catalog/view/apprentice-8-0-job-focused-assessment/,No,No,"B
P",Assessment length
Bank Administrative Assistant - Short Form,https://www.shl.com/solutions/products/product-catalog/view/bank-administrative-assistant-short-form/,No,No,"A
B
K
P",Assessment length
Bank Collections Agent - Short Form,https://www.shl.com/solutions/products/product-catalog/view/bank-collections-agent-short-form/,No,No,"A
B
P",Assessment length
Bank Operations Supervisor - Short Form,https://www.shl.com/solutions/products/product-catalog/view/bank-operations-supervisor-short-form/,No,No,"A
B
P
S",Assessment length
Bilingual Spanish Reservation Agent Solution,https://www.shl.com/solutions/products/product-catalog/view/bilingual-spanish-reservation-agent-solution/,No,No,"B
P
S
A",Assessment length
"Bookkeeping, Accounting, Auditing Clerk Short Form",https://www.shl.com/solutions/products/product-catalog/view/bookkeeping-accounting-auditing-clerk-short-form/,No,No,"P
S
K
B
A",Assessment length
Branch Manager - Short Form,https://www.shl.com/solutions/products/product-catalog/view/branch-manager-short-form/,No,No,"A
B
P",Assessment length
Cashier Solution,https://www.shl.com/solutions/products/product-catalog/view/cashier-solution/,No,No,"B
A
P",Assessment length
Global Skills Development Report,https://www.shl.com/solutions/products/product-catalog/view/global-skills-development-report/,No,No,"A
E
B
C
D
P",
.NET Framework 4.5,https://www.shl.com/solutions/products/product-catalog/view/net-framework-4-5/,No,No,K,Assessment length
.NET MVC (New),https://www.shl.com/solutions/products/product-catalog/view/net-mvc-new/,No,No,K,Assessment length
.NET MVVM (New),https://www.shl.com/solutions/products/product-catalog/view/net-mvvm-new/,No,No,K,Assessment length
.NET WCF (New),https://www.shl.com/solutions/products/product-catalog/view/net-wcf-new/,No,No,K,Assessment length
.NET WPF (New),https://www.shl.com/solutions/products/product-catalog/view/net-wpf-new/,No,No,K,Assessment length
.NET XAML (New),https://www.shl.com/solutions/products/product-catalog/view/net-xaml-new/,No,No,K,Assessment length
Accounts Payable (New),https://www.shl.com/solutions/products/product-catalog/view/accounts-payable-new/,No,No,K,Assessment length
Accounts Payable Simulation (New),https://www.shl.com/solutions/products/product-catalog/view/accounts-payable-simulation-new/,No,No,S,Assessment length
Accounts Receivable (New),https://www.shl.com/solutions/products/product-catalog/view/accounts-receivable-new/,No,No,K,Assessment length
Accounts Receivable Simulation (New),https://www.shl.com/solutions/products/product-catalog/view/accounts-receivable-simulation-new/,No,No,S,Assessment length
ADO.NET (New),https://www.shl.com/solutions/products/product-catalog/view/ado-net-new/,No,No,K,Assessment length
Claims/Operations Supervisor Solution,https://www.shl.com/solutions/products/product-catalog/view/claimsoperations-supervisor-solution/,No,No,"P
S
A
B",Assessment length
Contact Center Customer Service + 8.0,https://www.shl.com/solutions/products/product-catalog/view/contact-center-customer-service-8-0/,No,No,"A
B
C
P
S",Assessment length
Contact Center Customer Service 8.0,https://www.shl.com/solutions/products/product-catalog/view/contact-center-customer-service-8-0-4269/,No,No,"S
B
C
P",Assessment length
Contact Center Manager - Short Form,https://www.shl.com/solutions/products/product-catalog/view/contact-center-manager-short-form/,No,No,"A
B
P
S",Assessment length
Contact Center Sales & Service + 8.0,https://www.shl.com/solutions/products/product-catalog/view/contact-center-sales-and-service-8-0/,No,No,"P
B
C
A
S",Assessment length
Contact Center Sales & Service 8.0,https://www.shl.com/solutions/products/product-catalog/view/contact-center-sales-and-service-8-0-4268/,No,No,"S
B
C
P",Assessment length
Contact Center Team Lead/Coach - Short Form,https://www.shl.com/solutions/products/product-catalog/view/contact-center-team-leadcoach-short-form/,No,No,"A
B
P
S",Assessment length
Contact Centre Agent Solution - UK,https://www.shl.com/solutions/products/product-catalog/view/contact-centre-agent-solution-uk/,No,No,"A
B
P
S",Assessment length
Customer Service - Short Form,https://www.shl.com/solutions/products/product-catalog/view/customer-service-short-form/,No,No,"A
B
P",Assessment length
Customer Service - Short Form - UK,https://www.shl.com/solutions/products/product-catalog/view/customer-service-short-form-uk/,No,No,"A
B
P",Assessment length
Customer Service with Sales - Short Form,https://www.shl.com/solutions/products/product-catalog/view/customer-service-with-sales-short-form/,No,No,"A
B
P",Assessment length
Director - Short Form,https://www.shl.com/solutions/products/product-catalog/view/director-short-form/,No,No,"A
B
P",Assessment length
District/Regional Manager Solution,https://www.shl.com/solutions/products/product-catalog/view/districtregional-manager-solution/,No,No,"A
B
P",Assessment length
Entry Level Cashier 7.1 (Americas),https://www.shl.com/solutions/products/product-catalog/view/entry-level-cashier-7-1-%28americas%29/,No,No,"B
P
A",Assessment length
Entry Level Cashier 7.1 (International),https://www.shl.com/solutions/products/product-catalog/view/entry-level-cashier-7-1-%28international%29/,No,No,"A
B
P",Assessment length
Entry Level Customer Service 7.1 (Americas),https://www.shl.com/solutions/products/product-catalog/view/entry-level-customer-service-7-1-%28americas%29/,No,No,"C
P",Assessment length
Entry Level Customer Service 7.1 (International),https://www.shl.com/solutions/products/product-catalog/view/entry-level-customer-service-%28retail-and-cc%29-7-1/,No,No,"C
P",Assessment length
Entry Level Customer Service 7.1 (South Africa),https://www.shl.com/solutions/products/product-catalog/view/entry-level-customer-service-7-1-%28south-africa%29/,No,No,"C
P",Assessment length
Entry level Sales 7.1 (Americas),https://www.shl.com/solutions/products/product-catalog/view/entry-level-sales-7-1-%28americas%29/,No,No,"B
C
P",Assessment length
Entry level Sales 7.1 (International),https://www.shl.com/solutions/products/product-catalog/view/entry-level-sales-7-1/,No,No,"P
B
C",Assessment length
Entry Level Sales Sift Out 7.1,https://www.shl.com/solutions/products/product-catalog/view/entry-level-sales-sift-out-7-1/,No,No,"C
P
B",Assessment length
Event Sales Manager Solution,https://www.shl.com/solutions/products/product-catalog/view/event-sales-manager-solution/,No,No,"S
A
B
P",Assessment length
Executive - Short Form,https://www.shl.com/solutions/products/product-catalog/view/executive-short-form/,No,No,"A
B
P",Assessment length
Financial Professional - Short Form,https://www.shl.com/solutions/products/product-catalog/view/financial-professional-short-form/,No,No,"A
B
P",Assessment length
Financial Services Representative Solution,https://www.shl.com/solutions/products/product-catalog/view/financial-services-representative-solution/,No,No,"A
B
P",Assessment length
Front Desk Associate Solution,https://www.shl.com/solutions/products/product-catalog/view/front-desk-associate-solution/,No,No,"A
B
P",Assessment length
Gaming Associate Solution,https://www.shl.com/solutions/products/product-catalog/view/gaming-associate-solution/,No,No,"A
B
P
S",Assessment length
Gaming Manager Solution,https://www.shl.com/solutions/products/product-catalog/view/gaming-manager-solution/,No,No,"S
A
B
K
P",Assessment length
General Entry Level - All Industries 7.0 Solution,https://www.shl.com/solutions/products/product-catalog/view/general-entry-level-all-industries-7-0-solution/,No,No,B,Assessment length
General Entry Level - All Industries 7.1 Solution,https://www.shl.com/solutions/products/product-catalog/view/general-entry-level-all-industries-7-1-solution/,No,No,B,Assessment length
General Entry Level - All Industries 7.1(Americas),https://www.shl.com/solutions/products/product-catalog/view/general-entry-level-all-industries-7-1%28americas%29/,No,No,B,Assessment length
